# Modality/SequenceID, Split, Visualize
Confocal_BPAE_R/9, train, False
Confocal_BPAE_G/1, test, False
Confocal_BPAE_G/10, val, False
Confocal_BPAE_G/11, train, False
Confocal_BPAE_G/12, train, False
Confocal_BPAE_G/13, train, False
Confocal_BPAE_G/14, train, False
Confocal_BPAE_G/15, train, False
Confocal_BPAE_G/16, train, False
Confocal_BPAE_G/17, train, False
Confocal_BPAE_G/18, train, False
Confocal_BPAE_G/19, train, False
Confocal_BPAE_G/2, train, False
Confocal_BPAE_G/20, train, False
Confocal_BPAE_G/3, train, False
Confocal_BPAE_G/4, train, False
Confocal_BPAE_G/5, train, False
Confocal_BPAE_G/6, train, False
Confocal_BPAE_G/7, train, False
Confocal_BPAE_G/8, train, False
Confocal_BPAE_G/9, train, False
Confocal_BPAE_B/1, test, False
Confocal_BPAE_B/10, val, False
Confocal_BPAE_B/11, train, False
Confocal_BPAE_B/12, train, False
Confocal_BPAE_B/13, train, False
Confocal_BPAE_B/14, train, False
Confocal_BPAE_B/15, train, False
Confocal_BPAE_B/16, train, False
Confocal_BPAE_B/17, train, False
Confocal_BPAE_B/18, train, False
Confocal_BPAE_B/19, train, False
Confocal_BPAE_B/2, train, False
Confocal_BPAE_B/20, train, False
Confocal_BPAE_B/3, train, False
Confocal_BPAE_B/4, train, False
Confocal_BPAE_B/5, train, False
Confocal_BPAE_B/6, train, False
Confocal_BPAE_B/7, train, False
Confocal_BPAE_B/8, train, False
Confocal_BPAE_B/9, train, False
Confocal_FISH/1, test, False
Confocal_FISH/10, val, False
Confocal_FISH/11, train, False
Confocal_FISH/12, train, False
Confocal_FISH/13, train, False
Confocal_FISH/14, train, False
Confocal_FISH/15, train, False
Confocal_FISH/16, train, False
Confocal_FISH/17, train, False
Confocal_FISH/18, train, False
Confocal_FISH/19, train, False
Confocal_FISH/2, train, False
Confocal_FISH/20, train, False
Confocal_FISH/3, train, False
Confocal_FISH/4, train, False
Confocal_FISH/5, train, False
Confocal_FISH/6, train, False
Confocal_FISH/7, train, False
Confocal_FISH/8, train, False
Confocal_FISH/9, train, False
WideField_BPAE_R/1, test, True
WideField_BPAE_R/10, val, False
WideField_BPAE_R/11, train, False
WideField_BPAE_R/12, train, False
WideField_BPAE_R/13, train, False
WideField_BPAE_R/14, train, False
WideField_BPAE_R/15, train, False
WideField_BPAE_R/16, train, False
WideField_BPAE_R/17, train, False
WideField_BPAE_R/18, train, False
WideField_BPAE_R/19, train, False
WideField_BPAE_R/2, train, False
WideField_BPAE_R/20, train, False
WideField_BPAE_R/3, train, False
WideField_BPAE_R/4, train, False
WideField_BPAE_R/5, train, False
WideField_BPAE_R/6, train, False
WideField_BPAE_R/7, train, False
WideField_BPAE_R/8, train, False
WideField_BPAE_R/9, train, False
WideField_BPAE_G/1, test, False
WideField_BPAE_G/10, val, False
WideField_BPAE_G/11, train, False
WideField_BPAE_G/12, train, False
WideField_BPAE_G/13, train, False
WideField_BPAE_G/14, train, False
WideField_BPAE_G/15, train, False
WideField_BPAE_G/16, train, False
WideField_BPAE_G/17, train, False
WideField_BPAE_G/18, train, False
WideField_BPAE_G/19, train, False
WideField_BPAE_G/2, train, False
WideField_BPAE_G/20, train, False
WideField_BPAE_G/3, train, False
WideField_BPAE_G/4, train, False
WideField_BPAE_G/5, train, False
WideField_BPAE_G/6, train, False
WideField_BPAE_G/7, train, False
WideField_BPAE_G/8, train, False
WideField_BPAE_G/9, train, False
WideField_BPAE_B/1, test, False
WideField_BPAE_B/10, val, False
WideField_BPAE_B/11, train, False
WideField_BPAE_B/12, train, False
WideField_BPAE_B/13, train, False
WideField_BPAE_B/14, train, False
WideField_BPAE_B/15, train, False
WideField_BPAE_B/16, train, False
WideField_BPAE_B/17, train, False
WideField_BPAE_B/18, train, False
WideField_BPAE_B/19, train, False
WideField_BPAE_B/2, train, False
WideField_BPAE_B/20, train, False
WideField_BPAE_B/3, train, False
WideField_BPAE_B/4, train, False
WideField_BPAE_B/5, train, False
WideField_BPAE_B/6, train, False
WideField_BPAE_B/7, train, False
WideField_BPAE_B/8, train, False
WideField_BPAE_B/9, train, False
